Metagenomes,Number_of_sequencing_pairs,Number_of_QC_sequencing_pairs,NCBI Biosample,HBD01,HBD02,HBD03,HBD05,HBD06,HBD07,HBD08,HBD09,,Location,Project,Depth_(m),Depth_Id,Size_fractionnation_(um),Year,Month,Day,Latitude,Longitude,Chlorophyll Sensor s,Mean_Temperature,Mean_Salinity,Mean_Oxygen,Mean_Nitrates,NO2,PO4,NO2NO3,SI
ASW_72_05M,210038834,192904908,SAMEA2621132,0,0,0.14187643,0,1.070776256,0,0,0,,Atlantic_Ocean_(South_West),TARA_Oceans,5.84,SRF,0.22-3,2010,10,5,-8.78,-17.91,0.18,25.00,36.40,199.10,0.30,0.00,0.10,0.02,0.87
ASW_72_100M,163810639,150772650,SAMEA2621155,0,0,1.679633867,0,0,0,0,0,,Atlantic_Ocean_(South_West),TARA_Oceans,95.40,DCM,0.22-3,2010,10,5,-8.70,-17.94,0.02,24.10,36.60,194.40,0.20,0.01,0.14,0.04,1.32
ASW_76_05M,230862644,198367593,SAMEA2621198,0,0,0,0,0,0,0,0,,Atlantic_Ocean_(South_West),TARA_Oceans,5.46,SRF,0.22-3,2010,10,16,-20.94,-35.20,0.48,23.30,37.10,206.20,0.00,0.00,0.06,0.00,0.81
ASW_78_05M,237321718,210418876,SAMEA2621254,0,0,0,0,0,0,0,0,,Atlantic_Ocean_(South_West),TARA_Oceans,5.57,SRF,0.22-3,2010,11,4,-30.14,-43.29,0.01,19.90,36.30,221.50,-0.40,0.00,0.00,0.02,0.48
ASW_82_05M,134447282,126027308,SAMEA2621401,0,0,0,0,0,0,0,0,,Atlantic_Ocean_(South_West),TARA_Oceans,5.48,SRF,0.22-3,2010,12,6,-47.18,-58.30,0.39,7.30,34.00,305.00,17.10,0.15,1.30,18.15,1.82
ASW_82_40M,222110286,204045433,SAMEA2621423,0,0,0,0,0,0,0,0,,Atlantic_Ocean_(South_West),TARA_Oceans,41.77,DCM,0.22-3,2010,12,6,-47.21,-58.06,0.03,7.00,34.10,306.20,17.10,0.14,1.42,19.07,3.08
ION_36_05M,125582958,115835461,SAMEA2619927,0,0,0,0,0,0,0,0,,Indian_Ocean_(North),TARA_Oceans,5.47,SRF,0.22-1.6,2010,3,12,20.82,63.50,,25.60,36.50,210.90,NA,0.05,0.37,0.13,1.20
ION_36_17M,201050825,185733267,SAMEA2619952,0,0,0,0,0,0,0,0,,Indian_Ocean_(North),TARA_Oceans,17.39,DCM,0.22-1.6,2010,3,12,20.82,63.51,0.18,25.40,36.50,211.60,0.40,0.51,0.51,2.08,1.79
ION_38_05M,130920132,117679280,SAMEA2620000,0,0,0,0,0,0,0,0,,Indian_Ocean_(North),TARA_Oceans,5.45,SRF,0.1-0.22,2010,3,15,19.04,64.49,0.39,26.20,36.60,199.90,0.90,0.01,0.32,0.06,1.18
ION_38_25M,209843333,173872925,SAMEA2620021,0,0,0,0,0,0,0,0,,Indian_Ocean_(North),TARA_Oceans,25.34,DCM,0.22-1.6,2010,3,15,19.03,64.62,0.04,25.50,NA,154.70,1.20,0.70,0.42,1.86,1.63
